t 0.02, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2647937, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2730229, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2808417, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2841918, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2882372, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2923313, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2962799, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3012154, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3089881, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.315447, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3221084, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3358982, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3403085, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3453755, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3517665, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3587871, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.364614, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3709347, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3769502, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3830055, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3888572, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3946302, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4005363, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4066819, x -1.080261, y -6.915444, z 49.50767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
