t, stimulusOn
0.02, False
0.12, False
0.22, False
0.2842748, False
0.2916908, False
0.2960125, False
0.2996239, False
0.3042273, False
0.311956, False
0.3162154, False
0.325661, False
0.3337935, False
0.3412564, False
0.3493729, False
0.3601609, False
0.3675953, False
0.3756118, False
0.3832192, False
0.3907818, False
0.3987939, False
0.4061124, False
0.4139953, False
0.4219141, False
0.428636, False
0.4357665, False
0.4428716, False
0.4502989, False
0.4574354, False
0.4644149, False
0.4724217, False
0.4786378, False
0.4849321, False
0.4911871, False
0.4973366, False
0.5044425, False
0.5123889, False
0.5177367, False
0.5243134, False
0.5303555, False
0.5367654, False
0.5425129, False
0.5482631, False
0.5544279, False
0.5621832, False
0.5682187, False
0.5741403, False
0.5798823, False
0.5845961, False
0.5905421, False
0.5960606, False
0.60135, False
0.6079205, False
0.6125129, False
0.6184416, False
0.6242873, False
0.6299076, False
0.6357878, False
0.641482, False
0.6461303, False
0.6520374, False
0.657989, False
0.6645302, False
0.6722327, False
0.6798511, False
0.6837537, False
0.6877429, False
0.6921281, False
0.6960856, False
0.7010498, False
0.7068154, False
0.7121617, False
0.717811, False
0.7238249, False
0.7284302, False
0.7340342, False
0.7396682, False
0.7439103, False
0.7487909, False
0.754119, False
0.7613994, False
0.768263, False
0.7719676, False
0.7781685, False
0.783878, False
0.7877107, False
0.7921531, False
0.7978467, False
0.8044683, False
0.8119661, False
0.8200037, False
0.8279285, False
0.8318294, False
0.8358618, False
0.8397553, False
0.8437782, False
0.847687, False
0.8519394, False
0.857515, False
0.8642886, False
0.8693094, False
0.8758902, False
0.8806202, False
0.8852565, False
0.8903728, False
0.8960558, False
0.9016997, False
0.9083228, False
0.9165553, False
0.9243412, False
0.9318334, False
0.9359481, False
0.9397265, False
0.9436774, False
0.9478579, False
0.9518642, False
0.9590319, False
0.9643041, False
0.9697783, False
0.9759504, False
0.9803398, False
0.9859659, False
0.9921904, False
0.9962136, False
1.001338, False
1.008964, False
1.016028, False
1.020096, False
1.02785, False
1.035917, False
1.039813, False
1.043725, False
1.06828, False
1.071778, False
1.079695, False
1.087878, False
1.095592, False
1.099651, False
1.103885, False
1.108321, False
1.116467, False
1.12482, False
1.132141, False
1.13561, False
1.139868, False
1.143795, False
1.147901, False
1.151795, False
1.156465, False
1.16394, False
1.167834, False
1.173725, False
1.179852, False
1.18379, False
1.187945, False
1.191767, False
1.19589, False
1.199648, False
1.203771, False
1.207963, False
1.213588, False
1.220397, False
1.227824, False
1.231821, False
1.235996, False
1.241862, False
1.248148, False
1.251784, False
1.256493, False
1.264066, False
1.26858, False
1.276156, False
1.280511, False
1.285277, False
1.292284, False
1.297839, False
1.322986, True
1.358306, True
1.368152, True
1.37172, True
1.37585, True
1.37992, True
1.383646, True
1.387963, True
1.391703, True
1.395666, True
1.399646, True
1.404028, False
1.408254, False
1.413576, False
1.420319, False
1.427857, False
1.431879, False
1.436359, False
1.441007, False
1.446041, False
1.451756, False
1.456619, False
1.464192, False
1.468942, False
1.475838, False
1.48055, False
1.48587, False
1.491752, False
1.49624, False
1.502371, False
1.507954, False
1.51384, False
1.520237, False
1.528119, False
1.5319, False
1.53694, False
1.544035, False
1.548076, False
1.553385, False
1.560641, False
1.568281, False
1.572343, False
1.577505, False
1.583883, False
1.587936, False
1.593337, False
1.599824, False
1.604849, False
1.612263, False
1.619838, False
1.626409, False
1.632023, False
1.635736, False
1.640011, False
1.645703, False
1.651685, False
1.656116, False
1.664125, False
1.672205, False
1.680193, False
1.683759, False
1.68778, False
1.691762, False
1.697271, False
1.703802, False
1.713139, True
1.72029, True
1.727932, True
1.731994, True
1.735738, True
1.739989, True
1.744007, True
1.748917, True
1.754298, True
1.761464, True
1.768278, True
1.773061, True
1.779865, True
1.784123, True
1.789576, True
1.796137, True
1.801076, True
1.80671, True
1.813466, False
1.82007, False
1.827859, False
1.836044, False
1.839782, False
1.843776, False
1.848019, False
1.852636, False
1.858349, False
1.86503, False
1.87207, False
1.876807, False
1.882623, False
1.887872, False
1.894319, False
1.899879, False
1.904903, False
1.912222, False
1.919894, False
1.928082, False
1.931803, False
1.935767, False
1.940052, False
1.945276, False
1.949791, False
1.962157, False
1.968249, False
1.971728, False
1.976299, False
1.980078, False
1.98436, False
1.989641, False
1.996011, False
2.000874, False
2.006394, False
2.012978, False
2.020018, False
2.028306, False
2.035876, False
2.039703, False
2.043592, False
2.04787, False
2.05242, False
2.057213, False
2.066834, False
2.071846, False
2.075983, False
2.080817, False
2.100281, False
2.103758, False
2.107824, False
2.111929, False
2.120503, False
2.128011, False
2.131956, False
2.135725, False
2.139885, False
2.143827, False
2.147855, False
2.151746, False
2.155933, False
2.160427, False
2.168339, False
2.172819, False
2.179821, False
2.184448, False
2.189957, False
2.196702, False
2.201817, False
2.207898, False
2.21496, False
2.220855, False
2.228317, False
2.23289, False
2.237932, False
2.244437, False
2.251756, True
2.255836, True
2.261059, True
2.268378, True
2.273919, True
2.280306, True
2.285498, True
2.291758, True
2.297872, True
2.303697, True
2.30901, True
2.316255, True
2.323978, True
2.332338, True
2.335663, True
2.340077, True
2.345057, True
2.350314, False
2.3562, False
2.361207, False
2.368369, False
2.376097, False
2.380887, False
2.385921, False
2.391829, False
2.398308, False
2.404061, False
2.409381, False
2.416407, False
2.42429, False
2.432258, False
2.435724, False
2.439918, False
2.444743, False
2.450219, False
2.456269, False
2.461412, False
2.468619, False
2.476079, False
2.480358, False
2.485857, False
2.492143, False
2.49919, False
2.504021, False
2.509609, False
2.516112, False
2.520772, False
2.528201, False
2.533438, False
2.539885, False
2.54534, False
2.551738, False
2.555962, False
2.563989, False
2.568884, False
2.576013, False
2.583827, False
2.587821, False
2.592597, False
2.597299, False
2.604057, False
2.61014, False
2.616609, False
2.62409, False
2.631773, False
2.635831, False
2.640197, False
2.646425, False
2.651788, False
2.657073, False
2.662895, False
2.669787, False
2.675948, False
2.681705, False
2.688117, False
2.692734, False
2.698736, False
2.70421, False
2.709725, False
2.71631, False
2.721912, False
2.728163, False
2.733975, False
2.740051, False
2.747716, False
2.751778, False
2.757172, False
2.764343, False
2.773269, False
2.780165, False
2.783654, False
2.787863, False
2.794019, False
2.799856, False
2.805014, False
2.810184, False
2.816192, False
2.824273, False
2.832213, False
2.853688, False
2.860088, True
2.868257, True
2.876342, True
2.879628, True
2.883908, True
2.887957, True
2.891957, True
2.895702, True
2.89968, True
2.903762, True
2.907724, True
2.912057, True
2.917696, True
2.924287, True
2.932127, True
2.936098, True
2.941264, True
2.947713, True
2.951913, True
2.95786, True
2.963947, False
2.971936, False
2.980085, False
2.983727, False
2.987926, False
2.994711, False
3.000322, False
3.005985, False
3.012018, False
3.020099, False
3.027813, False
3.032197, False
3.036423, False
3.041621, False
3.047916, False
3.052883, False
3.058383, False
3.06554, False
3.072513, False
3.080165, False
3.083743, False
3.08897, False
3.094032, False
3.100742, False
3.107795, False
3.112276, False
3.119952, False
3.126227, False
3.133841, False
3.1399, False
3.143883, False
3.14843, False
3.153915, False
3.160901, False
3.167902, False
3.17238, False
3.179809, False
3.184003, False
3.189682, False
3.196232, False
3.201349, False
3.207732, False
