t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
21.30577, 0, 0, 50, 1, 1, 1, True
21.30971, 0, 0, 50, 1, 1, 1, True
21.31351, 0, 0, 50, 1, 1, 1, True
21.31767, 0, 0, 50, 1, 1, 1, True
21.32163, 0, 0, 50, 1, 1, 1, True
21.32561, 0, 0, 50, 1, 1, 1, True
21.3297, 0, 0, 50, 1, 1, 1, True
21.33365, 0, 0, 50, 1, 1, 1, True
21.33772, 0, 0, 50, 1, 1, 1, True
21.3416, 0, 0, 50, 1, 1, 1, True
21.34556, 0, 0, 50, 1, 1, 1, True
21.34974, 0, 0, 50, 1, 1, 1, True
21.35359, 0, 0, 50, 1, 1, 1, True
21.35756, 0, 0, 50, 1, 1, 1, True
21.36756, 0, 0, 50, 1, 1, 1, True
21.37373, 0, 0, 50, 1, 1, 1, True
21.37752, 0, 0, 50, 1, 1, 1, True
21.38173, 0, 0, 50, 1, 1, 1, True
21.38561, 0, 0, 50, 1, 1, 1, True
21.38958, 0, 0, 50, 1, 1, 1, True
21.39364, 0, 0, 50, 1, 1, 1, True
21.39771, 0, 0, 50, 1, 1, 1, True
21.40165, 0, 0, 50, 1, 1, 1, True
21.40563, 0, 0, 50, 1, 1, 1, True
21.40986, 0, 0, 50, 1, 1, 1, True
21.46419, 0, 0, 50, 1, 1, 1, True
21.46964, 0.08726523, 0.2617982, 49.99924, 1, 1, 1, True
21.47357, 0.2181492, 0.6108501, 49.99579, 1, 1, 1, True
21.47752, 0.3053971, 0.7417377, 49.99356, 1, 1, 1, True
21.48183, 0.3926352, 0.8726203, 49.99084, 1, 1, 1, True
21.48562, 0.4798615, 1.003497, 49.98763, 1, 1, 1, True
21.48956, 0.5234329, 1.221609, 49.98233, 1, 1, 1, True
21.49351, 0.5669847, 1.439698, 49.97605, 1, 1, 1, True
21.49782, 0.5669847, 1.439698, 49.97605, 1, 1, 1, True
21.50975, 0.6541387, 1.614149, 49.96966, 1, 1, 1, True
21.51362, 0.7411402, 2.00659, 49.95422, 1, 1, 1, True
21.51974, 0.8282357, 2.137377, 49.94743, 1, 1, 1, True
21.52566, 0.8715786, 2.442488, 49.9327, 1, 1, 1, True
21.52973, 0.9148623, 2.747509, 49.91607, 1, 1, 1, True
21.53371, 1.045223, 3.008874, 49.89844, 1, 1, 1, True
21.53772, 1.045223, 3.008874, 49.89844, 1, 1, 1, True
21.54148, 1.088346, 3.313695, 49.8782, 1, 1, 1, True
21.54576, 1.088346, 3.313695, 49.8782, 1, 1, 1, True
21.54954, 1.174973, 3.574872, 49.8582, 1, 1, 1, True
21.55357, 1.174973, 3.574872, 49.8582, 1, 1, 1, True
21.55777, 1.21809, 3.792445, 49.84108, 1, 1, 1, True
21.56176, 1.21809, 3.792445, 49.84108, 1, 1, 1, True
21.56555, 1.2615, 3.835951, 49.83667, 1, 1, 1, True
21.56975, 1.2615, 3.835951, 49.83667, 1, 1, 1, True
21.57356, 1.304539, 4.053437, 49.81835, 1, 1, 1, True
21.57756, 1.304539, 4.053437, 49.81835, 1, 1, 1, True
21.58165, 1.304257, 4.183892, 49.80757, 1, 1, 1, True
21.58563, 1.304257, 4.183892, 49.80757, 1, 1, 1, True
21.58948, 1.347215, 4.401253, 49.78769, 1, 1, 1, True
21.59373, 1.347215, 4.401253, 49.78769, 1, 1, 1, True
21.59759, 1.346899, 4.531629, 49.776, 1, 1, 1, True
21.60167, 1.346899, 4.531629, 49.776, 1, 1, 1, True
21.6054, 1.389771, 4.748854, 49.75457, 1, 1, 1, True
21.60984, 1.389771, 4.748854, 49.75457, 1, 1, 1, True
21.61357, 1.388935, 5.052815, 49.72464, 1, 1, 1, True
21.6177, 1.388935, 5.052815, 49.72464, 1, 1, 1, True
21.62164, 1.388177, 5.313204, 49.69751, 1, 1, 1, True
21.62547, 1.388177, 5.313204, 49.69751, 1, 1, 1, True
21.62981, 1.387245, 5.616806, 49.66414, 1, 1, 1, True
21.63353, 1.387245, 5.616806, 49.66414, 1, 1, 1, True
21.63759, 1.386547, 5.833537, 49.63917, 1, 1, 1, True
21.64158, 1.386547, 5.833537, 49.63917, 1, 1, 1, True
21.64548, 1.385377, 6.180074, 49.59725, 1, 1, 1, True
21.65844, 1.385377, 6.180074, 49.59725, 1, 1, 1, True
21.66134, 1.383818, 6.61282, 49.54145, 1, 1, 1, True
21.66555, 1.383818, 6.61282, 49.54145, 1, 1, 1, True
21.66971, 1.382999, 6.829006, 49.51214, 1, 1, 1, True
21.67374, 1.382999, 6.829006, 49.51214, 1, 1, 1, True
21.67757, 1.382325, 7.001862, 49.48801, 1, 1, 1, True
21.68164, 1.382325, 7.001862, 49.48801, 1, 1, 1, True
21.68546, 1.338469, 7.174632, 49.46446, 1, 1, 1, True
21.6896, 1.338469, 7.174632, 49.46446, 1, 1, 1, True
21.6936, 1.294973, 7.260984, 49.45302, 1, 1, 1, True
21.69759, 1.294973, 7.260984, 49.45302, 1, 1, 1, True
21.70138, 1.251656, 7.304152, 49.44778, 1, 1, 1, True
21.70548, 1.251656, 7.304152, 49.44778, 1, 1, 1, True
21.70967, 1.208191, 7.390471, 49.43603, 1, 1, 1, True
21.71377, 1.208191, 7.390471, 49.43603, 1, 1, 1, True
21.71766, 1.208191, 7.390471, 49.43603, 1, 1, 1, True
21.7217, 1.208191, 7.390471, 49.43603, 1, 1, 1, True
21.72562, 1.164897, 7.433623, 49.4306, 1, 1, 1, True
21.72986, 1.164897, 7.433623, 49.4306, 1, 1, 1, True
21.73362, 1.164897, 7.433623, 49.4306, 1, 1, 1, True
21.73803, 1.164897, 7.433623, 49.4306, 1, 1, 1, True
21.74206, 1.164897, 7.433623, 49.4306, 1, 1, 1, True
21.74613, 1.164897, 7.433623, 49.4306, 1, 1, 1, True
21.75072, 1.12176, 7.433622, 49.4316, 1, 1, 1, True
21.75506, 1.12176, 7.433622, 49.4316, 1, 1, 1, True
21.75937, 1.12176, 7.433622, 49.4316, 1, 1, 1, True
21.76568, 1.12176, 7.433622, 49.4316, 1, 1, 1, True
21.76955, 1.12176, 7.433622, 49.4316, 1, 1, 1, True
21.77363, 1.12176, 7.433622, 49.4316, 1, 1, 1, True
21.77758, 1.12176, 7.433622, 49.4316, 1, 1, 1, True
21.78174, 1.12176, 7.433622, 49.4316, 1, 1, 1, True
21.78585, 1.12176, 7.433622, 49.4316, 1, 1, 1, True
21.79048, 1.12176, 7.433622, 49.4316, 1, 1, 1, True
21.79434, 1.12176, 7.433622, 49.4316, 1, 1, 1, True
21.79898, 1.12176, 7.433622, 49.4316, 1, 1, 1, True
21.80324, 1.12176, 7.433622, 49.4316, 1, 1, 1, True
21.80758, 1.12176, 7.433622, 49.4316, 1, 1, 1, True
21.81365, 1.12176, 7.433622, 49.4316, 1, 1, 1, True
21.81773, 1.121907, 7.390471, 49.43806, 1, 1, 1, True
21.82166, 1.122053, 7.347314, 49.44449, 1, 1, 1, True
21.82578, 1.122053, 7.347314, 49.44449, 1, 1, 1, True
21.82973, 1.122053, 7.347314, 49.44449, 1, 1, 1, True
21.83385, 1.122053, 7.347314, 49.44449, 1, 1, 1, True
21.83829, 1.122053, 7.347314, 49.44449, 1, 1, 1, True
21.84288, 1.122053, 7.347314, 49.44449, 1, 1, 1, True
21.84672, 1.122198, 7.304151, 49.45089, 1, 1, 1, True
21.85124, 1.122198, 7.304151, 49.45089, 1, 1, 1, True
21.85761, 1.122342, 7.260983, 49.45724, 1, 1, 1, True
21.86592, 1.122485, 7.217809, 49.46355, 1, 1, 1, True
21.87379, 1.122628, 7.174632, 49.46983, 1, 1, 1, True
21.88182, 1.079593, 7.131446, 49.47704, 1, 1, 1, True
21.88573, 1.079593, 7.131446, 49.47704, 1, 1, 1, True
21.8897, 1.036675, 7.04506, 49.49033, 1, 1, 1, True
21.89358, 1.036803, 7.00186, 49.49646, 1, 1, 1, True
21.89751, 1.036931, 6.958655, 49.50254, 1, 1, 1, True
21.90172, 1.036931, 6.958655, 49.50254, 1, 1, 1, True
21.90573, 1.037058, 6.915442, 49.5086, 1, 1, 1, True
21.9098, 1.037058, 6.915442, 49.5086, 1, 1, 1, True
21.91345, 1.037183, 6.872225, 49.51461, 1, 1, 1, True
21.91766, 1.037183, 6.872225, 49.51461, 1, 1, 1, True
21.92163, 0.9940934, 6.829004, 49.52148, 1, 1, 1, True
21.92554, 0.9940934, 6.829004, 49.52148, 1, 1, 1, True
21.92969, 0.9942127, 6.785778, 49.52741, 1, 1, 1, True
21.93363, 0.9942127, 6.785778, 49.52741, 1, 1, 1, True
21.9375, 0.9943311, 6.742545, 49.53332, 1, 1, 1, True
21.94171, 0.9943311, 6.742545, 49.53332, 1, 1, 1, True
21.94562, 0.9511048, 6.742545, 49.53416, 1, 1, 1, True
21.94971, 0.9511048, 6.742545, 49.53416, 1, 1, 1, True
21.9535, 0.9512175, 6.699307, 49.54003, 1, 1, 1, True
21.95763, 0.9512175, 6.699307, 49.54003, 1, 1, 1, True
21.96144, 0.9512175, 6.699307, 49.54003, 1, 1, 1, True
21.96555, 0.9512175, 6.699307, 49.54003, 1, 1, 1, True
21.9694, 0.9513293, 6.656065, 49.54586, 1, 1, 1, True
21.97365, 0.9513293, 6.656065, 49.54586, 1, 1, 1, True
21.977
