t, x1, y1, z1, scale_x1, scale_y1, scale_z1, x2, y2, z2, scale_x2, scale_y2, scale_z2, stimulusOn
0.02, 2021-06-08T10:44:41.1431800+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
0.12, 2021-06-08T10:44:42.9573500+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
0.22, 2021-06-08T10:44:43.9453830+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
0.32, 2021-06-08T10:44:44.0834830+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
0.42, 2021-06-08T10:44:44.1840710+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
0.5021151, 2021-06-08T10:44:44.2642550+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
0.6021151, 2021-06-08T10:44:44.3770760+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
0.692252, 2021-06-08T10:44:44.4672360+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
0.7922521, 2021-06-08T10:44:44.5761830+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
0.8889717, 2021-06-08T10:44:44.6727550+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
0.9889718, 2021-06-08T10:44:44.7961590+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
1.088972, 2021-06-08T10:44:44.9225720+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
1.188972, 2021-06-08T10:44:45.0229580+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
1.282615, 2021-06-08T10:44:45.1165040+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
1.382615, 2021-06-08T10:44:45.2172210+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
1.482069, 2021-06-08T10:44:45.3166150+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
1.512559, 2021-06-08T10:44:45.3470510+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
1.612559, 2021-06-08T10:44:45.5124920+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
1.624013, 2021-06-08T10:44:45.5237800+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
1.638565, 2021-06-08T10:44:45.5383290+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
1.650761, 2021-06-08T10:44:45.5505630+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
1.674366, 2021-06-08T10:44:45.5742240+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
1.709199, 2021-06-08T10:44:45.6089960+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
1.744008, 2021-06-08T10:44:45.6439640+08:00, -3.420202, 0, 9.396926, 1, 1, 1, 3.420203, 0, -9.396927, 2, 2, 2, True
