t, stimulusOn
0.02, 2021-06-09T17:17:44.9971230+08:00, False
0.12, 2021-06-09T17:17:45.9865890+08:00, False
0.22, 2021-06-09T17:17:46.3153180+08:00, False
0.32, 2021-06-09T17:17:46.4143010+08:00, False
0.3265425, 2021-06-09T17:17:46.4197950+08:00, False
0.3307051, 2021-06-09T17:17:46.4239410+08:00, False
0.3345111, 2021-06-09T17:17:46.4277510+08:00, False
0.3382402, 2021-06-09T17:17:46.4314800+08:00, False
0.3422946, 2021-06-09T17:17:46.4357750+08:00, False
0.3463098, 2021-06-09T17:17:46.4395630+08:00, False
0.3501525, 2021-06-09T17:17:46.4433880+08:00, False
0.3553874, 2021-06-09T17:17:46.4487870+08:00, False
0.3617858, 2021-06-09T17:17:46.4552800+08:00, False
0.3672354, 2021-06-09T17:17:46.4606680+08:00, False
0.3733281, 2021-06-09T17:17:46.4666310+08:00, False
0.3785415, 2021-06-09T17:17:46.4718130+08:00, False
0.3853365, 2021-06-09T17:17:46.4788430+08:00, False
0.3911846, 2021-06-09T17:17:46.4844280+08:00, False
0.3970449, 2021-06-09T17:17:46.4903270+08:00, False
0.4028297, 2021-06-09T17:17:46.4963150+08:00, False
0.408194, 2021-06-09T17:17:46.5014480+08:00, False
0.4142834, 2021-06-09T17:17:46.5075310+08:00, False
0.4191503, 2021-06-09T17:17:46.5124070+08:00, False
0.4253351, 2021-06-09T17:17:46.5188090+08:00, False
0.4305254, 2021-06-09T17:17:46.5238040+08:00, False
0.4361016, 2021-06-09T17:17:46.5293630+08:00, False
0.4422263, 2021-06-09T17:17:46.5356960+08:00, False
0.4461105, 2021-06-09T17:17:46.5393950+08:00, False
0.4506952, 2021-06-09T17:17:46.5439700+08:00, False
0.4557299, 2021-06-09T17:17:46.5490140+08:00, False
0.4623597, 2021-06-09T17:17:46.5558470+08:00, False
0.4665651, 2021-06-09T17:17:46.5598220+08:00, False
0.4712492, 2021-06-09T17:17:46.5645170+08:00, False
0.4763914, 2021-06-09T17:17:46.5696210+08:00, False
0.4822998, 2021-06-09T17:17:46.5757540+08:00, False
0.4861767, 2021-06-09T17:17:46.5794480+08:00, False
0.4912259, 2021-06-09T17:17:46.5844920+08:00, False
0.4954995, 2021-06-09T17:17:46.5887840+08:00, False
0.500222, 2021-06-09T17:17:46.5937320+08:00, False
0.5066925, 2021-06-09T17:17:46.5999290+08:00, False
0.5101024, 2021-06-09T17:17:46.6033580+08:00, False
0.514486, 2021-06-09T17:17:46.6077770+08:00, False
0.519493, 2021-06-09T17:17:46.6127610+08:00, False
0.5262609, 2021-06-09T17:17:46.6197360+08:00, False
0.5302179, 2021-06-09T17:17:46.6234680+08:00, False
0.5342202, 2021-06-09T17:17:46.6274480+08:00, False
0.5381625, 2021-06-09T17:17:46.6314220+08:00, False
0.5422211, 2021-06-09T17:17:46.6357020+08:00, False
0.5461783, 2021-06-09T17:17:46.6394370+08:00, False
0.5503498, 2021-06-09T17:17:46.6436150+08:00, False
0.5545946, 2021-06-09T17:17:46.6478750+08:00, False
0.5590169, 2021-06-09T17:17:46.6522890+08:00, False
0.5633032, 2021-06-09T17:17:46.6568330+08:00, False
0.5675319, 2021-06-09T17:17:46.6607950+08:00, False
0.5753977, 2021-06-09T17:17:46.6686650+08:00, False
0.5782933, 2021-06-09T17:17:46.6715370+08:00, False
0.5821601, 2021-06-09T17:17:46.6756200+08:00, False
0.5861546, 2021-06-09T17:17:46.6794020+08:00, False
0.5901582, 2021-06-09T17:17:46.6833920+08:00, False
0.5941085, 2021-06-09T17:17:46.6873630+08:00, False
0.5981653, 2021-06-09T17:17:46.6914110+08:00, False
0.6022341, 2021-06-09T17:17:46.6957380+08:00, False
0.6062644, 2021-06-09T17:17:46.6995130+08:00, False
0.6101667, 2021-06-09T17:17:46.7034130+08:00, False
0.6142049, 2021-06-09T17:17:46.7074720+08:00, False
0.6182251, 2021-06-09T17:17:46.7114900+08:00, False
