t, x , y, z , scale_x, scale_y, scale_z, stimulusOn
0.02, 2021-07-05T15:43:10.1227610+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.12, 2021-07-05T15:43:11.2190880+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.22, 2021-07-05T15:43:11.4201930+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.303753, 2021-07-05T15:43:11.5055600+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.3791833, 2021-07-05T15:43:11.5775770+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.3899312, 2021-07-05T15:43:11.5866540+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.4055748, 2021-07-05T15:43:11.6025800+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.422781, 2021-07-05T15:43:11.6198090+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.4437203, 2021-07-05T15:43:11.6410530+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.4607564, 2021-07-05T15:43:11.6580750+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.4783745, 2021-07-05T15:43:11.6752050+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.4974894, 2021-07-05T15:43:11.6947030+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.5179503, 2021-07-05T15:43:11.7147630+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.5419796, 2021-07-05T15:43:11.7389520+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.5662442, 2021-07-05T15:43:11.7632730+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.5924015, 2021-07-05T15:43:11.7898860+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.6202319, 2021-07-05T15:43:11.8179350+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.6309869, 2021-07-05T15:43:11.8275440+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.6385378, 2021-07-05T15:43:11.8350730+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.6463037, 2021-07-05T15:43:11.8428710+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.6534515, 2021-07-05T15:43:11.8500380+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.6616181, 2021-07-05T15:43:11.8583850+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.6719904, 2021-07-05T15:43:11.8685050+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.677607, 2021-07-05T15:43:11.8742240+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.6849779, 2021-07-05T15:43:11.8816440+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.6922631, 2021-07-05T15:43:11.8889270+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.7002271, 2021-07-05T15:43:11.8980820+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.7089009, 2021-07-05T15:43:11.9054480+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.7288077, 2021-07-05T15:43:11.9256670+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.7360892, 2021-07-05T15:43:11.9326230+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.7395442, 2021-07-05T15:43:11.9361110+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.7441308, 2021-07-05T15:43:11.9407140+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.7474241, 2021-07-05T15:43:11.9439360+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.7519278, 2021-07-05T15:43:11.9484600+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.7586282, 2021-07-05T15:43:11.9551640+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.7647704, 2021-07-05T15:43:11.9615230+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.7719737, 2021-07-05T15:43:11.9686780+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.778901, 2021-07-05T15:43:11.9754630+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.7858179, 2021-07-05T15:43:11.9825160+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.7928627, 2021-07-05T15:43:11.9894860+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.8007606, 2021-07-05T15:43:11.9973320+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.8076069, 2021-07-05T15:43:12.0042880+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.8159013, 2021-07-05T15:43:12.0125790+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.8234941, 2021-07-05T15:43:12.0201820+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.8304338, 2021-07-05T15:43:12.0269780+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.8375316, 2021-07-05T15:43:12.0341350+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.8443806, 2021-07-05T15:43:12.0412750+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.8519595, 2021-07-05T15:43:12.0484980+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.8580489, 2021-07-05T15:43:12.0546650+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.8651928, 2021-07-05T15:43:12.0617780+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.8727212, 2021-07-05T15:43:12.0693120+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.8794747, 2021-07-05T15:43:12.0761150+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.8865891, 2021-07-05T15:43:12.0831630+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.8933228, 2021-07-05T15:43:12.0900500+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.9014382, 2021-07-05T15:43:12.0981720+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.908469, 2021-07-05T15:43:12.1050030+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.9164588, 2021-07-05T15:43:12.1130670+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.9245076, 2021-07-05T15:43:12.1211130+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.9322322, 2021-07-05T15:43:12.1288030+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.9396957, 2021-07-05T15:43:12.1362640+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.9463787, 2021-07-05T15:43:12.1429560+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.9539142, 2021-07-05T15:43:12.1505750+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.9615421, 2021-07-05T15:43:12.1581950+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.9695553, 2021-07-05T15:43:12.1661190+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.9762893, 2021-07-05T15:43:12.1729510+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.9833155, 2021-07-05T15:43:12.1799420+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.9911531, 2021-07-05T15:43:12.1877110+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
0.9983943, 2021-07-05T15:43:12.1950110+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.005764, 2021-07-05T15:43:12.2023440+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.012946, 2021-07-05T15:43:12.2096530+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.020705, 2021-07-05T15:43:12.2174440+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.029014, 2021-07-05T15:43:12.2259360+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.037781, 2021-07-05T15:43:12.2344360+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.045184, 2021-07-05T15:43:12.2420140+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.053169, 2021-07-05T15:43:12.2498930+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.061666, 2021-07-05T15:43:12.2582850+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.068214, 2021-07-05T15:43:12.2648750+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.075599, 2021-07-05T15:43:12.2722370+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.083621, 2021-07-05T15:43:12.2802780+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.091468, 2021-07-05T15:43:12.2880480+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.098344, 2021-07-05T15:43:12.2951690+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.105875, 2021-07-05T15:43:12.3024940+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.113189, 2021-07-05T15:43:12.3098740+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.121593, 2021-07-05T15:43:12.3181950+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.128822, 2021-07-05T15:43:12.3257040+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.13645, 2021-07-05T15:43:12.3331830+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.144571, 2021-07-05T15:43:12.3412170+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.152194, 2021-07-05T15:43:12.3487890+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.158981, 2021-07-05T15:43:12.3555780+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.166681, 2021-07-05T15:43:12.3634590+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.175063, 2021-07-05T15:43:12.3716450+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.182149, 2021-07-05T15:43:12.3788420+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.188676, 2021-07-05T15:43:12.3852320+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.195113, 2021-07-05T15:43:12.3924020+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.203888, 2021-07-05T15:43:12.4004960+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.209317, 2021-07-05T15:43:12.4058670+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.216453, 2021-07-05T15:43:12.4130740+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.227337, 2021-07-05T15:43:12.4239060+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.231636, 2021-07-05T15:43:12.4281410+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.236047, 2021-07-05T15:43:12.4326110+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.242573, 2021-07-05T15:43:12.4391720+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.249142, 2021-07-05T15:43:12.4457750+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.256407, 2021-07-05T15:43:12.4529660+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.263708, 2021-07-05T15:43:12.4602820+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.268836, 2021-07-05T15:43:12.4654520+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.275959, 2021-07-05T15:43:12.4725020+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
1.281993, 2021-07-05T15:43:12.4785930+08:00, 0, 12.94095, 48.29629, 1, 1, 1, False
