t 0, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.02, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2699478, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2758918, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2796682, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2836303, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.288046, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2915857, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.295558, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2996033, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3036681, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3075511, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3116079, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3155899, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3196238, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3235052, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3274433, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3313903, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3355576, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3394525, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3435328, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3474191, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3513584, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3554796, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3597232, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3636324, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3677427, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3713647, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3756677, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3795008, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3837744, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3881191, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.391587, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3956856, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3995863, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4034516, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4076064, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4116777, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4155875, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4196394, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.423581, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4276444, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4316624, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4356543, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4396329, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4436112, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4476286, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4516351, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4554775, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4596554, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4636322, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4676431, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4713592, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4757132, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4796513, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4836443, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4880708, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4915368, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4956487, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4996014, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5036905, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5076162, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5115961, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5156935, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.519739, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.523532, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5276018, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5316929, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5356116, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5395213, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5435812, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.547712, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5516938, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5556012, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5596926, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5636595, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.567602, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5713921, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5756676, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5796148, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5835453, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5881398, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5915284, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5954409, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5996596, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6037077, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.607551, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.611652, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6156327, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6196172, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6235512, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.627684, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6316864, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6356038, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6396304, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6436297, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6476466, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6516331, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6555668, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6597125, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6635995, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6676387, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6715466, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6756198, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6796452, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6836919, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6881414, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6915265, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6955346, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6996383, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7036916, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7075964, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7116219, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7156038, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7196487, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7238897, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7274901, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.731683, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7356411, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7395512, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7437198, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7476151, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7516543, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7555891, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.759576, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7635978, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
