t 0.02, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2906103, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2953719, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2987175, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3028537, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3070666, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3108361, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3149049, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3188168, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3228198, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3267334, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3308983, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3347239, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3388405, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3429061, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3468228, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3506604, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3549836, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3588781, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.362892, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3673514, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3706801, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3747168, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3790073, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3826453, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3868058, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3906893, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.394643, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3988881, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.402952, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4068743, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4106731, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4148644, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4186579, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4228883, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4267282, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4309033, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4348049, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.43887, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4429002, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4468257, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4506673, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4548461, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4588614, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4628651, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4672545, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4708432, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4748298, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4789265, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4829225, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4867941, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4906328, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4948511, x 25.85082, y -19.61686, z 38.03832, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5948511, x 16.62196, y -10.73677, z 45.91767, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6948511, x 16.58189, y -10.73677, z 45.93216, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7355677, x 12.86684, y -8.725376, z 47.5217, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7404023, x 12.75212, y -8.510475, z 47.59155, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7442436, x 12.6766, y -8.338438, z 47.64215, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7481574, x 12.6766, y -8.338438, z 47.64215, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7522144, x 12.6766, y -8.338438, z 47.64215, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7562106, x 12.6424, y -8.1663, z 47.68104, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7602967, x 12.6424, y -8.1663, z 47.68104, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7641479, x 12.6424, y -8.1663, z 47.68104, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7682592, x 12.56456, y -8.037129, z 47.72354, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7723138, x 12.56456, y -8.037129, z 47.72354, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7760976, x 12.56456, y -8.037129, z 47.72354, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7802311, x 12.49, y -7.821724, z 47.77887, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7840693, x 12.49, y -7.821724, z 47.77887, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.788185, x 12.49, y -7.821724, z 47.77887, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7922893, x 12.3733, y -7.60617, z 47.84399, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
