t 10.36407, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.46407, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.50704, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.51625, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.52833, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.53137, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.53565, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.54175, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.54763, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.55199, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.55558, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.56468, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.57544, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.57932, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.58342, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.58762, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.59134, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.59535, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.59946, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.60334, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.60719, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.61131, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.61553, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.61934, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.62337, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.62735, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.63148, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.63545, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.6393, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.6433, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.64735, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.65135, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.65525, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.65935, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.66332, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.66736, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.67117, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.67534, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.67938, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.68334, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.68728, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.69142, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.6954, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.69938, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.70336, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.70729, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.71134, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.71539, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.71935, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.72332, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.72734, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.73136, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.73541, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.73937, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.74323, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.74748, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.75138, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.75544, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.7593, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.76338, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.76748, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.77117, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.77536, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.77942, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.78341, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.78776, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.79137, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.79544, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.79916, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.80345, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.80719, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.81115, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 10.81538, x 0, y -0.04363323, z 49.99998, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
