t 0.02, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x 0.9936087, y -7.001862, z 49.49734, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2275588, x 0.9937311, y -6.958654, z 49.50343, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2363759, x -0.08513143, y -10.99231, z 48.77665, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2433852, x -0.08513143, y -10.99231, z 48.77665, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2475761, x -0.08514814, y -10.94974, z 48.78623, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2510401, x -0.08516479, y -10.90716, z 48.79576, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.258035, x -0.08518136, y -10.86458, z 48.80526, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2632028, x -0.08519787, y -10.82198, z 48.81472, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2669297, x -0.08519787, y -10.82198, z 48.81472, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2710676, x -0.08519787, y -10.82198, z 48.81472, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2749816, x -0.08519787, y -10.82198, z 48.81472, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2789179, x -0.08521432, y -10.77938, z 48.82415, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.283075, x -0.08521432, y -10.77938, z 48.82415, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.287835, x -0.08521432, y -10.77938, z 48.82415, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2935646, x -0.08523071, y -10.73677, z 48.83354, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2992099, x -0.08524703, y -10.69415, z 48.84289, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3033976, x -0.08524703, y -10.69415, z 48.84289, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3088383, x -0.08524703, y -10.69415, z 48.84289, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3153396, x -0.08524703, y -10.69415, z 48.84289, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
