t 0.02, x 18.26352, y 0, z 9.848078, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.296184, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3093347, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3167028, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3202958, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3244247, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3295789, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3322479, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3364269, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3405825, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3444455, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3507702, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3569919, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3615474, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3684202, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3766476, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3887977, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.392398, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3965477, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4004294, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4044818, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4084668, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4122858, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4163733, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4204859, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4244837, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4285998, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4323727, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4362847, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4406259, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4443045, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4489613, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4534837, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.457888, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4620736, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
