t 0.6789125, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7789125, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8789125, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9789125, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.078912, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.174275, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.274275, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.357392, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.457392, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.552197, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.632524, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.720411, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.792738, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.870184, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.932739, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.942582, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.950761, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.95777, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.962736, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.975785, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.98664, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.998114, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.008254, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.01873, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.028832, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.103099, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.110809, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.117591, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.126171, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.133968, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.14213, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.150022, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.158081, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.165864, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.17463, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.183271, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.18998, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.198366, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.211172, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.218001, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.22588, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.234028, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.242038, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.250766, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.259066, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.26732, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.27594, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.283906, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.293088, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.307009, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.407008, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.418969, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.460733, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.466943, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.473765, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.482737, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.527114, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
