t 0.02, x -12.07092, y -6.69931, z 48.05634, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x -20.47799, y -27.26853, z 36.56609, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x -21.00794, y -13.36192, z 43.36041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.32, x -18.45677, y -19.13417, z 42.34656, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3854956, x -19.1546, y -17.30585, z 42.82066, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4367357, x -20.0452, y -14.99367, z 43.28255, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4881572, x -20.9198, y -12.13843, z 43.76095, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5553168, x -21.46994, y -10.48093, z 43.92257, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6502758, x -21.7775, y -9.626098, z 43.96679, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7502759, x -21.82699, y -9.497614, z 43.97019, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8502759, x -25.82428, y -13.78187, z 40.53599, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9363619, x -27.88334, y -14.9104, z 38.73241, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.030201, x -26.33485, y -19.25504, z 37.89088, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.130201, x -20.49233, y -33.48895, z 30.96054, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.230201, x -19.35629, y -36.2086, z 28.53545, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.330201, x -18.8388, y -32.93447, z 32.56409, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.411864, x -16.77051, y -28.85726, z 37.22914, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.486374, x -16.91405, y -28.35626, z 37.5478, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.562053, x -17.1431, y -28.35626, z 37.44378, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.623914, x -17.20667, y -28.24835, z 37.49615, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.715015, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.761653, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.795614, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.822397, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.922397, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.934337, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.937103, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.940695, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.945278, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.949383, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.957448, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.967066, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.980888, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.984603, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.990203, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.998546, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.014136, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.021864, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.029203, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.036126, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.043807, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.050297, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.057675, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.064733, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.077287, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.092679, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.102654, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.108844, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.113167, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.124551, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.128659, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.132735, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.136709, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.140745, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.146595, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.153204, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.158246, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.165138, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.170423, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.177055, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.182588, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.188719, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.19377, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.208743, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.212645, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.216976, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.220767, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.227755, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.233623, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.238586, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.245141, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.253176, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.256497, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.2608, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.265952, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.272763, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.280896, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.288682, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.300717, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.304662, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.308568, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.312834, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.316698, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.320718, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.324515, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.328619, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.332764, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.336571, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.340608, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.344702, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.348788, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.353788, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.359128, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.36492, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.376785, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.380712, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.384727, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.388664, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.395789, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.401382, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.406164, x -17.21695, y -28.21234, z 37.51854, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
