t 0.02, stimulusOn False
t 0.12, stimulusOn False
t 0.22, stimulusOn False
t 0.2270506, stimulusOn False
t 0.2313394, stimulusOn False
t 0.2351449, stimulusOn False
t 0.239108, stimulusOn False
t 0.2433375, stimulusOn False
t 0.2468657, stimulusOn False
t 0.2512386, stimulusOn False
t 0.2551218, stimulusOn False
t 0.261773, stimulusOn False
t 0.2677758, stimulusOn False
t 0.2737919, stimulusOn False
t 0.2796077, stimulusOn False
t 0.2868454, stimulusOn False
t 0.2934751, stimulusOn False
t 0.2991124, stimulusOn False
t 0.3039015, stimulusOn False
t 0.3118059, stimulusOn False
t 0.3197155, stimulusOn False
t 0.3276424, stimulusOn False
t 0.3316647, stimulusOn False
t 0.3349974, stimulusOn False
t 0.3389995, stimulusOn False
t 0.3432071, stimulusOn False
t 0.3472643, stimulusOn False
t 0.3520328, stimulusOn False
t 0.3573693, stimulusOn False
t 0.3633403, stimulusOn False
t 0.3674473, stimulusOn False
t 0.3724743, stimulusOn False
t 0.3774888, stimulusOn False
t 0.3833145, stimulusOn False
t 0.3871784, stimulusOn False
t 0.3913576, stimulusOn False
t 0.3963809, stimulusOn False
t 0.4035428, stimulusOn False
t 0.4118439, stimulusOn False
t 0.4198875, stimulusOn False
t 0.4275916, stimulusOn False
t 0.4313913, stimulusOn False
t 0.4351494, stimulusOn False
t 0.4390684, stimulusOn False
t 0.4432186, stimulusOn False
t 0.447259, stimulusOn False
t 0.4512436, stimulusOn False
t 0.4550524, stimulusOn False
t 0.459222, stimulusOn False
t 0.4632324, stimulusOn False
t 0.4670955, stimulusOn False
t 0.4712588, stimulusOn False
t 0.4752277, stimulusOn False
t 0.4791966, stimulusOn False
t 0.4831569, stimulusOn False
t 0.4872172, stimulusOn False
t 0.4911215, stimulusOn False
t 0.4952191, stimulusOn False
t 0.4992392, stimulusOn False
t 0.5031843, stimulusOn False
t 0.5070953, stimulusOn False
t 0.511183, stimulusOn False
t 0.515113, stimulusOn False
t 0.5191481, stimulusOn False
t 0.5230832, stimulusOn False
t 0.5270826, stimulusOn False
t 0.5315149, stimulusOn False
t 0.5350763, stimulusOn False
t 0.539152, stimulusOn False
t 0.5431543, stimulusOn False
t 0.5470638, stimulusOn False
t 0.5511599, stimulusOn False
t 0.5550765, stimulusOn False
t 0.5591298, stimulusOn False
t 0.5631189, stimulusOn False
t 0.5670522, stimulusOn False
t 0.5711136, stimulusOn False
t 0.5751182, stimulusOn False
t 0.5790458, stimulusOn False
t 0.5830957, stimulusOn False
t 0.5870728, stimulusOn False
t 0.5910374, stimulusOn False
t 0.5951167, stimulusOn False
t 0.5990841, stimulusOn False
t 0.6031121, stimulusOn False
t 0.6070957, stimulusOn False
t 0.6111409, stimulusOn False
t 0.6149442, stimulusOn False
t 0.6191559, stimulusOn False
t 0.6229786, stimulusOn False
