t 12.46447, x 0.2617933, y 0.3054307, z 49.99838, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.48265, x 0.3054251, y 0.3054308, z 49.99813, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.50705, x 0.3054251, y 0.3054308, z 49.99813, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.58698, x 0.3490546, y 0.3490631, z 49.99756, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.59593, x 0.2180518, y 1.614149, z 49.97346, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.60282, x 0.2179233, y 2.355323, z 49.94402, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.61304, x 0.217723, y 3.183072, z 49.8981, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.62404, x 0.2174627, y 4.009946, z 49.83847, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.63557, x 0.347456, y 4.792288, z 49.7686, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.64752, x 0.3473672, y 4.922569, z 49.75588, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.66758, x 0.3472761, y 5.052815, z 49.74282, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.68546, x 0.3906149, y 5.139627, z 49.73361, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.7013, x 0.3471508, y 5.226424, z 49.72488, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.72003, x 0.2168059, y 5.573447, z 49.68792, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.73835, x 0.1733583, y 5.7902, z 49.6633, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.76118, x 0.0865099, y 6.569568, z 49.56645, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.78178, x -0.04300297, y 8.467476, z 49.27778, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.79522, x 0.2135551, y 10.2248, z 48.9429, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.81412, x 0.5465903, y 13.36192, z 48.17842, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.83338, x 0.7872943, y 15.65819, z 47.47843, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.8519, x 0.7833564, y 16.3609, z 47.24095, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.87035, x 0.7785029, y 17.18298, z 46.94826, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.89372, x 0.6908351, y 18.20321, z 46.56357, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.91267, x 0.4856344, y 18.68987, z 46.37298, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.92814, x 0.0402091, y 19.41599, z 46.07621, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 12.99397, x -1.745133, y 22.8937, z 44.41659, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 13.00316, x -2.083474, y 23.31933, z 44.17995, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 13.01112, x -2.304031, y 23.70441, z 43.96354, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 13.01964, x -2.522187, y 24.08768, z 43.74268, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 13.03428, x -2.629071, y 24.31677, z 43.60944, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 13.04413, x -2.733853, y 24.58319, z 43.45334, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 13.06246, x -2.732505, y 24.62117, z 43.43192, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 13.08643, x -2.656698, y 24.62118, z 43.43661, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 13.10145, x -2.246224, y 24.39298, z 43.58826, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 13.11987, x -2.019932, y 24.31677, z 43.64189, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 13.13806, x -1.604786, y 24.12591, z 43.76488, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 13.16225, x -1.225736, y 23.93459, z 43.88203, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 13.17677, x -1.111905, y 23.85793, z 43.92678, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 13.19505, x -0.3850751, y 23.51209, z 44.1252, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 13.22512, x -0.2314754, y 23.35792, z 44.20808, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
