t 0.02, x -0.08726612, y 0.1308996, z 49.99975, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x -0.08726612, y 0.1308996, z 49.99975, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x -0.5183011, y -7.088256, z 49.4923, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3113655, x -0.5183011, y -7.088256, z 49.4923, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3147953, x -0.5183011, y -7.088256, z 49.4923, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3208913, x -0.5183011, y -7.088256, z 49.4923, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3297584, x -0.5183011, y -7.088256, z 49.4923, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3350874, x -0.5183011, y -7.088256, z 49.4923, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3392819, x -0.5183011, y -7.088256, z 49.4923, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3475038, x -0.5183011, y -7.088256, z 49.4923, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3511955, x -0.5183011, y -7.088256, z 49.4923, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3562564, x -0.5183011, y -7.088256, z 49.4923, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3649171, x -0.5183011, y -7.088256, z 49.4923, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.373522, x -0.5183011, y -7.088256, z 49.4923, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3809459, x -0.5183011, y -7.088256, z 49.4923, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3869328, x -0.8514383, y -10.94974, z 48.77887, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3915673, x -0.8514383, y -10.94974, z 48.77887, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3962245, x -0.8514383, y -10.94974, z 48.77887, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4013721, x -0.8514383, y -10.94974, z 48.77887, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4071149, x -0.8514383, y -10.94974, z 48.77887, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4116927, x -0.8514383, y -10.94974, z 48.77887, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4167446, x -0.8514383, y -10.94974, z 48.77887, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4230331, x -0.8512712, y -10.99231, z 48.7693, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4273925, x -0.8512712, y -10.99231, z 48.7693, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4315928, x -0.8512712, y -10.99231, z 48.7693, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4365281, x -0.8512712, y -10.99231, z 48.7693, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4432593, x -0.8512712, y -10.99231, z 48.7693, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4468146, x -0.8512712, y -10.99231, z 48.7693, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4509224, x -0.8512712, y -10.99231, z 48.7693, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4560107, x -0.8511035, y -11.03487, z 48.75969, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4602856, x -0.8511035, y -11.03487, z 48.75969, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4675998, x -0.8511035, y -11.03487, z 48.75969, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4710937, x -0.8511035, y -11.03487, z 48.75969, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.474687, x -0.8511035, y -11.03487, z 48.75969, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4786387, x -0.8511035, y -11.03487, z 48.75969, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.483051, x -0.8511035, y -11.03487, z 48.75969, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4869179, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4910348, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4958847, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4998735, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5042291, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5081956, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5122613, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5164884, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5205995, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5270798, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5308388, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5347849, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5389422, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5428541, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5468575, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.550923, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5547451, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5588461, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5628533, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5668934, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.571251, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5747226, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5788917, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5828415, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5867959, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5908579, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.5947474, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.598823, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6028851, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6067668, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6107041, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6148752, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6188943, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6228805, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6268584, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.630787, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6348232, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6388306, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6428162, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6466917, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6508531, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6546348, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6588075, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6627631, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6668898, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6711867, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6747789, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6789139, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.682799, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.686843, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
