t 0.02, x -0.04363316, y -0.08726642, z 49.9999, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.12, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.22, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.2967828, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3056987, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3106276, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.315044, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3186159, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3271044, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3305921, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3354386, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.341222, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3478872, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3533296, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3588473, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3638203, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3693111, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3756887, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3805556, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3873273, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3950803, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.3987181, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.4028897, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
